,Manufacturer,Year,Kilometers_Driven,Location,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
248,Hyundai,3,33000,Mumbai,Diesel,Manual,First,24,1120,70,5,4750
249,Maruti,4,34000,Chennai,Diesel,Manual,First,28.09,1248,88.5,5,8450
250,Skoda,8,55000,Kolkata,Diesel,Manual,First,20.5,1598,103.6,5,3500
251,Hyundai,14,160538,Kochi,Diesel,Manual,First,13.1,1493,82,5,1800
252,Volkswagen,6,60000,Jaipur,Diesel,Manual,Second,19.91,1498,103.6,5,3700
253,Honda,3,49575,Coimbatore,Petrol,Manual,First,18.7,1199,88.7,5,7170
254,Hyundai,10,83000,Jaipur,Petrol,Manual,First,19.81,1086,68.05,5,1750
255,Hyundai,2,51346,Kochi,Diesel,Automatic,First,16.38,1995,183,5,21990
256,Toyota,3,43000,Pune,Diesel,Manual,First,13.68,2393,147.8,7,18650
257,Maruti,9,35000,Jaipur,Petrol,Manual,Third,19.7,796,35,5,1850
258,Maruti,3,27872,Coimbatore,Petrol,Manual,Second,20.4,1197,81.8,5,5950
259,Hyundai,6,16514,Mumbai,Petrol,Manual,First,18.9,1197,82,5,3750
260,Maruti,8,120000,Pune,Diesel,Manual,First,22.9,1248,74,5,3750
261,Hyundai,12,143275,Hyderabad,Diesel,Manual,First,22,1582,126.2,5,2600
262,Hyundai,14,99000,Hyderabad,Petrol,Manual,First,18.13658965,1086,113.2530497,5,1750
263,Hyundai,10,52000,Mumbai,Petrol,Manual,First,17,1197,80,5,2800
264,Mercedes-Benz,3,29819,Coimbatore,Diesel,Automatic,First,11.57,2987,254.79,5,61290
265,Mercedes-Benz,6,57000,Bangalore,Diesel,Manual,Second,15.8,2148,170,5,18000
266,Maruti,6,88500,Hyderabad,Diesel,Manual,First,23.2,1248,73.94,5,4350
267,Hyundai,4,28000,Bangalore,Diesel,Manual,First,19.67,1582,126.2,5,13750
268,Maruti,10,67000,Pune,Petrol,Manual,First,19,998,66.1,5,2000
269,Renault,4,26000,Delhi,Diesel,Manual,First,19.64,1461,108.45,5,10000
270,Fiat,10,120000,Delhi,Diesel,Manual,First,17.8,1248,76,5,1650
271,BMW,3,51982,Coimbatore,Diesel,Automatic,First,16.55,2993,258,5,45770
272,Hyundai,10,36000,Bangalore,Petrol,Manual,Second,20.36,1197,78.9,5,3250
273,Toyota,4,47000,Pune,Diesel,Manual,First,12.8,2494,102,7,12800
274,Maruti,18,60000,Mumbai,Petrol,Manual,Third,17.3,993,60,5,550
275,Maruti,2,31025,Hyderabad,Diesel,Manual,First,28.4,1248,74,5,7150
276,Mahindra,7,105000,Pune,Diesel,Manual,Second,12.05,2179,120,8,7000
277,Tata,3,121900,Pune,Diesel,Manual,First,22.95,1248,74,5,3750
278,Ford,3,22695,Mumbai,Petrol,Manual,First,18.88,999,123.24,5,8500
279,Maruti,8,73000,Jaipur,Diesel,Manual,First,23.4,1248,74,5,4350
280,Maruti,4,32227,Kochi,Petrol,Manual,First,22.74,796,47.3,5,3260
281,Honda,9,55000,Jaipur,Petrol,Manual,First,17,1497,118,5,4210
282,Audi,2,11287,Kochi,Diesel,Automatic,First,12.07,2967,241.4,7,70360
283,Skoda,11,48000,Mumbai,Diesel,Automatic,Second,17,1896,105,5,2950
284,Hyundai,8,54308,Kochi,Petrol,Manual,First,17.1,1591,121.3,5,4280
285,Honda,11,78442,Jaipur,Petrol,Automatic,First,16.8,1497,118,5,3570
286,Hyundai,7,46000,Kolkata,Diesel,Manual,First,21.9,1396,88.8,5,3110
287,Hyundai,6,45051,Coimbatore,Petrol,Automatic,First,15,1396,98.6,5,5960
288,Volkswagen,9,69000,Hyderabad,Diesel,Manual,First,20.54,1598,103.6,5,4700
289,Honda,6,49000,Ahmedabad,Petrol,Manual,First,17.4,1497,117.3,5,6900
290,Tata,2,45000,Pune,Diesel,Manual,First,22.95,1248,74,5,5250
291,BMW,5,64000,Pune,Diesel,Automatic,First,18.48,1995,177,5,28000
292,Maruti,11,60000,Delhi,Petrol,Manual,First,18.9,1061,67,5,1350
293,Honda,5,62178,Delhi,Petrol,Manual,First,18.2,1199,88.7,5,4850
294,Volkswagen,8,58006,Coimbatore,Diesel,Manual,First,15,1896,105,5,6700
295,Hyundai,10,74000,Hyderabad,Petrol,Manual,First,20.36,1197,78.9,5,3100
296,Mercedes-Benz,5,77771,Kochi,Diesel,Automatic,First,19.27,2143,170,5,18640
297,Hyundai,8,45275,Pune,Petrol,Manual,First,20.36,1197,78.9,5,2800
298,Toyota,4,48000,Chennai,Diesel,Manual,First,13.68,2393,147.8,7,20250
299,Audi,5,31652,Kochi,Diesel,Automatic,First,17.68,1968,174.33,5,26780
300,Toyota,10,109000,Hyderabad,Diesel,Manual,Second,12.99,2494,100.6,7,8260
301,Volkswagen,5,31978,Mumbai,Petrol,Manual,First,16.47,1198,73.9,5,3890
302,Maruti,9,70000,Hyderabad,Petrol,Manual,First,20.92,998,67.1,5,2100
303,Honda,3,15000,Mumbai,Petrol,Automatic,First,18,1497,117.3,5,12690
304,Tata,7,59138,Coimbatore,Diesel,Manual,First,17,1405,70,5,2580
305,Audi,6,61726,Kochi,Diesel,Automatic,First,17.68,1968,174.33,5,20770
306,Mercedes-Benz,5,48000,Delhi,Diesel,Automatic,First,17.9,2143,136,5,20260
307,Hyundai,14,58000,Chennai,Petrol,Manual,Second,18.13658965,1086,113.2530497,5,1500
308,Maruti,9,60020,Kolkata,Diesel,Manual,First,17.8,1248,113.2530497,5,2500
